titulo,popularidad,voto_promedio,cantidad_votos,generos
Star Wars: The Last Jedi,44.365,6.8,13984,Adventure;Action;Science Fiction
Harry Potter and the Goblet of Fire,88.319,7.8,18796,Adventure;Fantasy;Family
Batman v Superman: Dawn of Justice,61.788,5.9,16753,Action;Adventure;Fantasy
Arrival,38.874,7.6,16163,Drama;Science Fiction;Mystery
Pirates of the Caribbean: Dead Man's Chest,69.048,7.3,14498,Adventure;Fantasy;Action
Monsters Inc.,93.95,7.8,16766,Animation;Comedy;Family
Hacksaw Ridge,124.57,8.2,12252,Drama;History;War
Léon: The Professional,44.544,8.3,13244,Crime;Drama;Action
The Shining,43.406,8.2,15714,Horror;Thriller
American Sniper,51.579,7.4,11846,War;Action
Zootopia,61.522,7.7,14887,Animation;Adventure;Family;Comedy
Catch Me If You Can,52.04,8.0,13913,Drama;Crime
Star Wars,83.926,8.2,18638,Adventure;Action;Science Fiction
Justice League,55.33,6.1,12021,Action;Adventure;Science Fiction
Harry Potter and the Deathly Hallows: Part 1,92.27,7.8,17356,Adventure;Fantasy
Mad Max: Fury Road,51.544,7.6,20527,Action;Adventure;Science Fiction
Passengers,23.947,6.9,12169,Drama;Romance;Science Fiction
Pirates of the Caribbean: On Stranger Tides,89.125,6.5,12831,Adventure;Action;Fantasy
The Hunger Games: Mockingjay - Part 2,49.212,6.9,11295,Action;Adventure;Science Fiction
Guardians of the Galaxy,197.97,7.9,26011,Action;Science Fiction;Adventure
The Hunger Games,34.018,7.2,20242,Science Fiction;Adventure;Fantasy
Spider-Man 3,61.858,6.4,12693,Fantasy;Action;Adventure
Alice in Wonderland,53.274,6.6,12870,Family;Fantasy;Adventure
The Lord of the Rings: The Two Towers,62.493,8.4,19727,Adventure;Fantasy;Action
Kill Bill: Vol. 1,32.571,8.0,15797,Action;Crime
Life of Pi,37.202,7.4,12203,Adventure;Drama
A Quiet Place,50.733,7.4,12731,Horror;Drama;Science Fiction
The Prestige,35.292,8.2,14178,Drama;Mystery;Science Fiction
Star Wars: Episode II - Attack of the Clones,34.52,6.6,11972,Adventure;Action;Science Fiction
Incredibles 2,56.315,7.5,11785,Action;Adventure;Animation;Family
The Hobbit: The Battle of the Five Armies,75.51,7.3,12992,Action;Adventure;Fantasy
Up,67.308,7.9,18409,Animation;Comedy;Family;Adventure
Shrek,125.866,7.7,15331,Animation;Comedy;Fantasy;Adventure;Family
Pirates of the Caribbean: At World's End,70.38,7.2,13011,Adventure;Fantasy;Action
Iron Man,64.001,7.6,24343,Action;Science Fiction;Adventure
The Amazing Spider-Man 2,77.261,6.5,11987,Action;Adventure;Fantasy
Inglourious Basterds,54.205,8.2,20206,Drama;Thriller;War
Pacific Rim,61.279,6.9,11302,Action;Science Fiction;Adventure
The Imitation Game,41.125,8.0,15599,History;Drama;Thriller;War
Star Wars: Episode III - Revenge of the Sith,35.246,7.4,12419,Adventure;Action;Science Fiction
Donnie Darko,28.001,7.8,11213,Fantasy;Drama;Mystery
V for Vendetta,28.474,7.9,13220,Action;Thriller;Science Fiction
Harry Potter and the Chamber of Secrets,100.534,7.7,19876,Adventure;Fantasy
A Clockwork Orange,25.787,8.2,11600,Science Fiction;Drama
Her,30.258,7.9,13110,Romance;Science Fiction;Drama
The Matrix,66.107,8.2,23198,Action;Science Fiction
